countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AFG,Afghanistan,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,17.025,
AGO,Angola,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,141.278,
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,0.594,
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2019,40.658,
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2019,1.508,
AGO,Angola,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,12.168,
AGO,Angola,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2019,11.535,
AGO,Angola,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2019,12.91,
AGO,Angola,GDI,Gender Development Index,,gdi,Gender Development Index (value),2019,0.889,
AGO,Angola,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.533,
AGO,Angola,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2019,4638.568,
AGO,Angola,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2019,7228.519,
AGO,Angola,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,5918.033,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.597,
AGO,Angola,GDI,Gender Development Index,,hdi_f,HDI female,2019,0.561,
AGO,Angola,GDI,Gender Development Index,,hdi_m,HDI male,2019,0.631,
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2019,0.346,
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2019,34.171,
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2019,58.066,
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2019,29.735,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,62.448,
AGO,Angola,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2019,64.922,
AGO,Angola,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2019,59.977,
AGO,Angola,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,73.03,
AGO,Angola,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,77.2,
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2019,42.044,
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2019,3.092,
AGO,Angola,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,227.687,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,5.735,
AGO,Angola,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2019,4.391,
AGO,Angola,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2019,7.113,
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2019,0.588,
AGO,Angola,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,30,
AGO,Angola,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,70,
AGO,Angola,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,21.035,
AGO,Angola,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,38.144,
ALB,Albania,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,15.013,
ALB,Albania,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,1.68,
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2019,13.255,
ALB,Albania,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2019,4.625,
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,15.178,
ALB,Albania,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2019,15.436,
ALB,Albania,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2019,14.909,
ALB,Albania,GDI,Gender Development Index,,gdi,Gender Development Index (value),2019,0.972,
ALB,Albania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.131,
ALB,Albania,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2019,11282.147,
ALB,Albania,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2019,15676.464,
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,13481.972,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.8,
ALB,Albania,GDI,Gender Development Index,,hdi_f,HDI female,2019,0.788,
ALB,Albania,GDI,Gender Development Index,,hdi_m,HDI male,2019,0.811,
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2019,0.692,
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2019,12.333,
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2019,21.177,
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2019,6.256,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,79.282,
ALB,Albania,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2019,81.666,
ALB,Albania,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2019,77.168,
ALB,Albania,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,52.87,
ALB,Albania,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,67.93,
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2019,13.5,
ALB,Albania,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2019,9.927,
ALB,Albania,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,5.305,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,10.073,
ALB,Albania,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2019,9.764,
ALB,Albania,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2019,10.391,
ALB,Albania,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2019,0.763,
ALB,Albania,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,29.508,
ALB,Albania,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,70.492,
ALB,Albania,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,81.893,
ALB,Albania,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,86.351,
AND,Andorra,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,5.985,
AND,Andorra,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,6.335,
AND,Andorra,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2019,9.854,
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,11.926,
AND,Andorra,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2019,11.875,
AND,Andorra,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2019,11.973,
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,55035.018,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.865,
AND,Andorra,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2019,0.779,
AND,Andorra,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2019,10.006,
AND,Andorra,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2019,14.402,
AND,Andorra,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2019,5.153,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,83.004,
AND,Andorra,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2019,85.434,
AND,Andorra,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2019,80.778,
AND,Andorra,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2019,9.942,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,11.085,
AND,Andorra,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2019,11.007,
AND,Andorra,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2019,11.163,
AND,Andorra,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,46.429,
AND,Andorra,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,53.571,
AND,Andorra,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,76.601,
AND,Andorra,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,78.881,
ARE,United Arab Emirates,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,3.825,
ARE,United Arab Emirates,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,23.835,
ARE,United Arab Emirates,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2019,8.376,
ARE,United Arab Emirates,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2019,25.295,
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,16.757,
ARE,United Arab Emirates,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2019,18.509,
ARE,United Arab Emirates,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2019,15.417,
ARE,United Arab Emirates,GDI,Gender Development Index,,gdi,Gender Development Index (value),2019,0.995,
ARE,United Arab Emirates,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.045,
ARE,United Arab Emirates,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2019,49980.517,
ARE,United Arab Emirates,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2019,81645.603,
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,72131.135,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.933,
ARE,United Arab Emirates,GDI,Gender Development Index,,hdi_f,HDI female,2019,0.923,
ARE,United Arab Emirates,GDI,Gender Development Index,,hdi_m,HDI male,2019,0.928,
ARE,United Arab Emirates,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2019,0.854,
ARE,United Arab Emirates,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2019,9.91,
ARE,United Arab Emirates,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2019,10.419,
ARE,United Arab Emirates,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2019,4.801,
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,79.726,
ARE,United Arab Emirates,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2019,81.907,
ARE,United Arab Emirates,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2019,78.175,
ARE,United Arab Emirates,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,57.62,
ARE,United Arab Emirates,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,92.06,
ARE,United Arab Emirates,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2019,8.467,
ARE,United Arab Emirates,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2019,27.331,
ARE,United Arab Emirates,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,9.432,
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,12.694,
ARE,United Arab Emirates,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2019,12.525,
ARE,United Arab Emirates,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2019,12.805,
ARE,United Arab Emirates,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2019,0.697,
ARE,United Arab Emirates,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,50,
ARE,United Arab Emirates,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,50,
ARE,United Arab Emirates,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,81.997,
ARE,United Arab Emirates,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,85.597,
ARG,Argentina,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,46.153,
ARG,Argentina,MPI,Multidimensional Poverty Index,Standard of Living,assets,Assets (%),2019,2.31,Survey: MICS (2019/20)
ARG,Argentina,MPI,Multidimensional Poverty Index,Health,child_mortality,Child mortality (%),2019,33.832,Survey: MICS (2019/20)
ARG,Argentina,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,3.989,
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2019,12.361,
ARG,Argentina,MPI,Multidimensional Poverty Index,Standard of Living,cooking_fuel,Cooking fuel (%),2019,0.239,Survey: MICS (2019/20)
ARG,Argentina,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2019,7.62,
ARG,Argentina,MPI,Multidimensional Poverty Index,Standard of Living,drinking_water,Drinking water (%),2019,0.313,Survey: MICS (2019/20)
ARG,Argentina,MPI,Multidimensional Poverty Index,Standard of Living,electricity,Electricity (%),2019,0.191,Survey: MICS (2019/20)
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,18.086,
ARG,Argentina,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2019,19.631,
ARG,Argentina,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2019,16.61,
ARG,Argentina,GDI,Gender Development Index,,gdi,Gender Development Index (value),2019,0.998,
ARG,Argentina,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.291,
ARG,Argentina,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2019,15699.079,
ARG,Argentina,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2019,26820.925,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,21205.471,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.853,
ARG,Argentina,GDI,Gender Development Index,,hdi_f,HDI female,2019,0.844,
ARG,Argentina,GDI,Gender Development Index,,hdi_m,HDI male,2019,0.845,
ARG,Argentina,MPI,Multidimensional Poverty Index,Standard of Living,housing,Housing (%),2019,3.483,Survey: MICS (2019/20)
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2019,0.744,
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2019,5.787,
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2019,23.666,
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2019,7.629,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,77.284,
ARG,Argentina,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2019,80.681,
ARG,Argentina,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2019,73.857,
ARG,Argentina,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,50.3,
ARG,Argentina,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,71.41,
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2019,12.778,
ARG,Argentina,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2019,14.245,
ARG,Argentina,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,32.603,
ARG,Argentina,MPI,Multidimensional Poverty Index,,mpi_rank,MPI Value (Range: 0 to 1),2019,0.001,Survey: MICS (2019/20)
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,11.124,
ARG,Argentina,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2019,11.344,
ARG,Argentina,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2019,10.869,
ARG,Argentina,MPI,Multidimensional Poverty Index,Health,nutrition,Nutrition (%),2019,35.848,Survey: MICS (2019/20)
ARG,Argentina,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2019,0.788,
ARG,Argentina,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,39.877,
ARG,Argentina,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,60.123,
ARG,Argentina,MPI,Multidimensional Poverty Index,Standard of Living,sanitation,Sanitation (%),2019,2.404,Survey: MICS (2019/20)
ARG,Argentina,MPI,Multidimensional Poverty Index,Education,school_attendance,School attendance (%),2019,9.336,Survey: MICS (2019/20)
ARG,Argentina,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,72.945,
ARG,Argentina,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,71.117,
ARG,Argentina,MPI,Multidimensional Poverty Index,Education,years_of_schooling,Years of schooling (%),2019,12.046,Survey: MICS (2019/20)
ARM,Armenia,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,19.041,
ARM,Armenia,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,2.228,
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2019,8.983,
ARM,Armenia,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2019,5.196,
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,13.999,
ARM,Armenia,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2019,14.268,
ARM,Armenia,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2019,13.742,
ARM,Armenia,GDI,Gender Development Index,,gdi,Gender Development Index (value),2019,0.999,
ARM,Armenia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.219,
ARM,Armenia,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2019,11136.411,
ARM,Armenia,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2019,18627.143,
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,14521.838,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.789,
ARM,Armenia,GDI,Gender Development Index,,hdi_f,HDI female,2019,0.786,
ARM,Armenia,GDI,Gender Development Index,,hdi_m,HDI male,2019,0.787,
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2019,0.716,
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2019,2.935,
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2019,16.52,
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2019,7.495,
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,75.439,
ARM,Armenia,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2019,79.856,
ARM,Armenia,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2019,70.403,
ARM,Armenia,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,66.33,
ARM,Armenia,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,76.17,
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2019,9.252,
ARM,Armenia,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2019,10.611,
ARM,Armenia,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,24.938,
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,11.283,
ARM,Armenia,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2019,11.275,
ARM,Armenia,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2019,11.292,
ARM,Armenia,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2019,0.748,
ARM,Armenia,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,23.485,
ARM,Armenia,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,76.515,
ARM,Armenia,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,96.047,
ARM,Armenia,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,97.085,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,30.83,
ATG,Antigua and Barbuda,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2019,6.961,
ATG,Antigua and Barbuda,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,15.522,
ATG,Antigua and Barbuda,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2019,16.713,
ATG,Antigua and Barbuda,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2019,14.389,
ATG,Antigua and Barbuda,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,21761.676,
