countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value
AFG,Afghanistan,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,898.669
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,1.89
AFG,Afghanistan,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2010,0.557
AFG,Afghanistan,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2010,3.066
AFG,Afghanistan,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2010,0.445
AFG,Afghanistan,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,27.635
AFG,Afghanistan,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,72.365
AFG,Afghanistan,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,2.827
AFG,Afghanistan,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,17.271
AGO,Angola,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,164.955
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,0.984
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,2.907
AGO,Angola,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,9.092
AGO,Angola,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,7.95
AGO,Angola,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,10.239
AGO,Angola,GDI,Gender Development Index,,gdi,Gender Development Index (value),2010,0.875
AGO,Angola,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.554
AGO,Angola,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2010,6230.54
AGO,Angola,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2010,7608.419
AGO,Angola,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,6909.369
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.516
AGO,Angola,GDI,Gender Development Index,,hdi_f,HDI female,2010,0.481
AGO,Angola,GDI,Gender Development Index,,hdi_m,HDI male,2010,0.55
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2010,46.404
AGO,Angola,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,39.498
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,56.726
AGO,Angola,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,59.039
AGO,Angola,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,54.415
AGO,Angola,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,75.66
AGO,Angola,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,79.03
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2010,6.426
AGO,Angola,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,367.265
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,3.829
AGO,Angola,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2010,2.886
AGO,Angola,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2010,4.882
AGO,Angola,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2010,0.501
AGO,Angola,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,38.636
AGO,Angola,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,61.364
AGO,Angola,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,15.713
AGO,Angola,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,25.882
ALB,Albania,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,19.65
ALB,Albania,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,1.642
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2010,13.314
ALB,Albania,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,4.83
ALB,Albania,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,14.172
ALB,Albania,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,14.266
ALB,Albania,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,14.095
ALB,Albania,GDI,Gender Development Index,,gdi,Gender Development Index (value),2010,0.956
ALB,Albania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.192
ALB,Albania,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2010,8129.253
ALB,Albania,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2010,13148.555
ALB,Albania,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,10643.043
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.766
ALB,Albania,GDI,Gender Development Index,,hdi_f,HDI female,2010,0.748
ALB,Albania,GDI,Gender Development Index,,hdi_m,HDI male,2010,0.782
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2010,0.663
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2010,11.9
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2010,19.834
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,8.208
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,77.936
ALB,Albania,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,80.688
ALB,Albania,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,75.493
ALB,Albania,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,46.86
ALB,Albania,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,63.97
ALB,Albania,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2010,13.446
ALB,Albania,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2010,10.706
ALB,Albania,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,8.517
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,9.627
ALB,Albania,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2010,9.188
ALB,Albania,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2010,10.093
ALB,Albania,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2010,0.729
ALB,Albania,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,16.429
ALB,Albania,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,83.571
ALB,Albania,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,81.022
ALB,Albania,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,87.286
AND,Andorra,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,10.558
AND,Andorra,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,7.224
AND,Andorra,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,12.312
AND,Andorra,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,13.048
AND,Andorra,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,11.641
AND,Andorra,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,57162.419
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.863
AND,Andorra,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,5.217
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,82.816
AND,Andorra,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,85.444
AND,Andorra,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,80.493
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,10.529
AND,Andorra,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2010,10.479
AND,Andorra,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2010,10.579
AND,Andorra,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,35.714
AND,Andorra,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,64.286
AND,Andorra,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,68.554
AND,Andorra,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,69.706
ARE,United Arab Emirates,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,13.72
ARE,United Arab Emirates,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,21.793
ARE,United Arab Emirates,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,24.758
ARE,United Arab Emirates,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,12.1
ARE,United Arab Emirates,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,13.829
ARE,United Arab Emirates,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,11.378
ARE,United Arab Emirates,GDI,Gender Development Index,,gdi,Gender Development Index (value),2010,0.978
ARE,United Arab Emirates,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.177
ARE,United Arab Emirates,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2010,22109.302
ARE,United Arab Emirates,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2010,66818.323
ARE,United Arab Emirates,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,54658.849
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.828
ARE,United Arab Emirates,GDI,Gender Development Index,,hdi_f,HDI female,2010,0.807
ARE,United Arab Emirates,GDI,Gender Development Index,,hdi_m,HDI male,2010,0.825
ARE,United Arab Emirates,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,5.838
ARE,United Arab Emirates,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,78.334
ARE,United Arab Emirates,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,80.203
ARE,United Arab Emirates,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,76.459
ARE,United Arab Emirates,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,43.38
ARE,United Arab Emirates,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,89.54
ARE,United Arab Emirates,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2010,29.614
ARE,United Arab Emirates,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,9.16
ARE,United Arab Emirates,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,9.834
ARE,United Arab Emirates,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2010,10.238
ARE,United Arab Emirates,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2010,9.443
ARE,United Arab Emirates,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2010,0.623
ARE,United Arab Emirates,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,22.5
ARE,United Arab Emirates,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,77.5
ARE,United Arab Emirates,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,73.043
ARE,United Arab Emirates,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,68.834
ARG,Argentina,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,67.064
ARG,Argentina,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,4.522
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2010,13.837
ARG,Argentina,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,7.914
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,17.029
ARG,Argentina,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,18.179
ARG,Argentina,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,15.922
ARG,Argentina,GDI,Gender Development Index,,gdi,Gender Development Index (value),2010,0.999
ARG,Argentina,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.372
ARG,Argentina,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2010,16611.027
ARG,Argentina,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2010,29000.906
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,22733.143
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.834
ARG,Argentina,GDI,Gender Development Index,,hdi_f,HDI female,2010,0.831
ARG,Argentina,GDI,Gender Development Index,,hdi_m,HDI male,2010,0.831
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2010,0.716
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2010,6.914
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2010,24.918
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,9.678
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,75.721
ARG,Argentina,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,78.838
ARG,Argentina,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,72.516
ARG,Argentina,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,48.05
ARG,Argentina,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,73.87
ARG,Argentina,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2010,14.149
ARG,Argentina,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2010,13.896
ARG,Argentina,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,55.103
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,10.6
ARG,Argentina,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2010,10.681
ARG,Argentina,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2010,10.5
ARG,Argentina,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2010,0.768
ARG,Argentina,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,37.805
ARG,Argentina,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,62.195
ARG,Argentina,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,60.694
ARG,Argentina,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,63.797
ARM,Armenia,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,29.07
ARM,Armenia,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,1.443
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2010,10.328
ARM,Armenia,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,3.383
ARM,Armenia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,12.426
ARM,Armenia,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,12.592
ARM,Armenia,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,12.249
ARM,Armenia,GDI,Gender Development Index,,gdi,Gender Development Index (value),2010,0.977
ARM,Armenia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.346
ARM,Armenia,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2010,6485.99
ARM,Armenia,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2010,13057.429
ARM,Armenia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,9517.274
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.739
ARM,Armenia,GDI,Gender Development Index,,hdi_f,HDI female,2010,0.727
ARM,Armenia,GDI,Gender Development Index,,hdi_m,HDI male,2010,0.744
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2010,0.661
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2010,3.685
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2010,16.322
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,10.977
ARM,Armenia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,73.16
ARM,Armenia,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,77.437
ARM,Armenia,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,68.597
ARM,Armenia,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,52.2
ARM,Armenia,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,72.3
ARM,Armenia,IHDI,Inequality-adjusted Human Development Index,,loss,Overall loss (%),2010,10.555
ARM,Armenia,PHDI,Planetary pressures–adjusted Human Development Index,,mf,Material footprint per capita (tonnes),2010,7.041
ARM,Armenia,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,33.218
ARM,Armenia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,11.124
ARM,Armenia,GDI,Gender Development Index,,mys_f,"Mean Years of Schooling, female (years)",2010,11.11
ARM,Armenia,GDI,Gender Development Index,,mys_m,"Mean Years of Schooling, male (years)",2010,11.14
ARM,Armenia,PHDI,Planetary pressures–adjusted Human Development Index,,phdi,Planetary pressures–adjusted Human Development Index (value),2010,0.714
ARM,Armenia,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,9.16
ARM,Armenia,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,90.84
ARM,Armenia,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,95.509
ARM,Armenia,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,96.684
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,42.477
ATG,Antigua and Barbuda,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,6.413
ATG,Antigua and Barbuda,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,15.584
ATG,Antigua and Barbuda,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,15.839
ATG,Antigua and Barbuda,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,15.288
ATG,Antigua and Barbuda,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,17736.695
ATG,Antigua and Barbuda,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.808
ATG,Antigua and Barbuda,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,6.892
ATG,Antigua and Barbuda,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,76.82
ATG,Antigua and Barbuda,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,79.434
ATG,Antigua and Barbuda,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,73.959
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,30.784
ATG,Antigua and Barbuda,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,10.185
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,19.444
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,80.556
AUS,Australia,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,16.622
AUS,Australia,PHDI,Planetary pressures–adjusted Human Development Index,,co2_prod,Carbon dioxide emissions per capita (production) (tonnes),2010,18.416
AUS,Australia,IHDI,Inequality-adjusted Human Development Index,,coef_ineq,Coefficient of human inequality,2010,9.599
AUS,Australia,PHDI,Planetary pressures–adjusted Human Development Index,,diff_hdi_phdi,Difference from HDI value (%),2010,26.082
AUS,Australia,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2010,22.425
AUS,Australia,GDI,Gender Development Index,,eys_f,"Expected Years of Schooling, female (years)",2010,22.746
AUS,Australia,GDI,Gender Development Index,,eys_m,"Expected Years of Schooling, male (years)",2010,22.109
AUS,Australia,GDI,Gender Development Index,,gdi,Gender Development Index (value),2010,0.963
AUS,Australia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.136
AUS,Australia,GDI,Gender Development Index,,gni_pc_f,"Gross National Income Per Capita, female (2017 PPP$)",2010,30190.843
AUS,Australia,GDI,Gender Development Index,,gni_pc_m,"Gross National Income Per Capita, male (2017 PPP$)",2010,56240.386
AUS,Australia,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2010,43158.475
AUS,Australia,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.924
AUS,Australia,GDI,Gender Development Index,,hdi_f,HDI female,2010,0.904
AUS,Australia,GDI,Gender Development Index,,hdi_m,HDI male,2010,0.938
AUS,Australia,IHDI,Inequality-adjusted Human Development Index,,ihdi,Inequality-adjusted Human Development Index (value),2010,0.833
AUS,Australia,IHDI,Inequality-adjusted Human Development Index,,ineq_edu,Inequality in eduation,2010,5.93
AUS,Australia,IHDI,Inequality-adjusted Human Development Index,,ineq_inc,Inequality in income,2010,18.793
AUS,Australia,IHDI,Inequality-adjusted Human Development Index,,ineq_le,Inequality in life expectancy,2010,4.075
AUS,Australia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,82.055
AUS,Australia,GDI,Gender Development Index,,le_f,"Life Expectancy at Birth, female (years)",2010,84.234
AUS,Australia,GDI,Gender Development Index,,le_m,"Life Expectancy at Birth, male (years)",2010,79.845
AUS,Australia,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,58.64
AUS,Australia,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,72.37
